id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
12,2,h1,t,2,0,0.0,6.896551724137931,6.896551724137931,car
77,2,h1,t,0,1,3.7241379310344827,7.310344827586207,3.5862068965517246,car
27,2,h1,t,2,0,3.6551724137931036,10.482758620689655,6.827586206896552,car
115,2,h1,t,0,1,6.275862068965517,11.931034482758621,5.655172413793104,car
179,2,h1,t,0,1,9.586206896551724,14.482758620689655,4.896551724137931,car
54,2,h1,t,1,2,4.344827586206897,14.689655172413794,10.344827586206897,car
37,2,h1,t,0,0,0.6896551724137931,15.03448275862069,14.344827586206897,car
80,2,h1,t,0,2,4.9655172413793105,15.517241379310345,10.551724137931036,car
120,2,h1,t,1,2,9.517241379310345,17.24137931034483,7.724137931034484,car
11,2,h1,t,1,0,0.3448275862068966,17.79310344827586,17.448275862068964,car
126,2,h1,t,2,0,12.206896551724139,20.82758620689655,8.620689655172413,car
261,2,h1,t,0,1,16.137931034482758,21.862068965517242,5.724137931034484,car
273,2,h1,t,2,0,17.310344827586206,23.517241379310345,6.206896551724139,car
283,2,h1,t,0,1,18.137931034482758,23.79310344827586,5.655172413793103,car
214,2,h1,t,0,2,13.10344827586207,24.275862068965516,11.172413793103447,car
221,2,h1,t,2,0,19.724137931034484,26.137931034482758,6.413793103448274,car
331,2,h1,t,0,1,22.137931034482758,27.03448275862069,4.896551724137932,car
265,2,h1,t,2,0,22.896551724137932,28.551724137931036,5.655172413793103,car
441,2,h1,t,0,1,29.79310344827586,34.827586206896555,5.034482758620694,car
317,2,h1,t,1,0,23.03448275862069,34.96551724137931,11.93103448275862,car
352,2,h1,t,0,2,23.79310344827586,35.37931034482759,11.586206896551726,car
334,2,h1,t,1,0,23.724137931034484,35.58620689655172,11.862068965517238,car
384,2,h1,t,0,2,25.24137931034483,35.86206896551724,10.62068965517241,car
364,2,h1,t,1,0,26.06896551724138,36.689655172413794,10.620689655172413,car
397,2,h1,t,1,0,28.06896551724138,37.241379310344826,9.172413793103445,car
502,2,h1,t,2,0,40.48275862068966,48.0,7.517241379310342,car
578,2,h1,t,0,1,40.206896551724135,48.13793103448276,7.931034482758626,car
579,2,h1,t,2,0,44.827586206896555,49.37931034482759,4.551724137931032,car
595,2,h1,t,2,0,46.827586206896555,50.206896551724135,3.37931034482758,car
391,2,h1,t,2,1,31.310344827586206,51.58620689655172,20.275862068965516,car
547,2,h1,t,0,0,36.758620689655174,52.48275862068966,15.724137931034484,truck
680,2,h1,t,2,0,47.310344827586206,53.03448275862069,5.724137931034484,car
649,2,h1,t,0,1,46.3448275862069,53.10344827586207,6.758620689655174,car
412,2,h1,t,2,1,34.0,54.206896551724135,20.206896551724135,car
748,2,h1,t,1,2,51.37931034482759,57.10344827586207,5.724137931034484,car
826,2,h1,t,0,1,52.689655172413794,58.41379310344828,5.724137931034484,car
