id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
3,1,h1,t,2,0,0.0,7.724137931034483,7.724137931034483,car
63,1,h1,t,1,2,5.931034482758621,10.275862068965518,4.344827586206897,car
10,1,h1,t,1,0,0.0,10.758620689655173,10.758620689655173,car
23,1,h1,t,1,0,2.689655172413793,13.03448275862069,10.344827586206897,car
79,1,h1,t,2,0,6.551724137931035,13.862068965517242,7.310344827586207,car
61,1,h1,t,1,0,5.862068965517241,16.137931034482758,10.275862068965516,car
139,1,h1,t,0,1,13.448275862068966,17.517241379310345,4.068965517241379,car
64,1,h1,t,2,0,4.9655172413793105,17.862068965517242,12.896551724137932,van
149,1,h1,t,2,0,14.344827586206897,20.96551724137931,6.620689655172413,car
168,1,h1,t,0,1,20.20689655172414,24.75862068965517,4.551724137931032,car
169,1,h1,t,0,1,21.17241379310345,25.724137931034484,4.551724137931036,car
157,1,h1,t,0,2,17.03448275862069,26.06896551724138,9.03448275862069,car
153,1,h1,t,1,0,16.482758620689655,26.20689655172414,9.724137931034484,car
160,1,h1,t,0,2,18.06896551724138,28.689655172413794,10.620689655172413,car
148,1,h1,t,0,0,14.827586206896552,31.448275862068964,16.620689655172413,car
189,1,h1,t,0,2,25.17241379310345,34.206896551724135,9.034482758620687,car
198,1,h1,t,0,2,27.655172413793103,35.58620689655172,7.931034482758619,car
166,1,h1,t,0,3,20.0,37.44827586206897,17.448275862068968,car
207,1,h1,t,0,2,30.06896551724138,38.689655172413794,8.620689655172413,car
192,1,h1,t,0,0,26.20689655172414,39.58620689655172,13.379310344827584,car
194,1,h1,t,0,0,27.93103448275862,42.06896551724138,14.137931034482762,car
218,1,h1,t,0,2,31.586206896551722,42.758620689655174,11.172413793103452,car
267,1,h1,t,0,1,37.51724137931034,43.793103448275865,6.275862068965523,car
232,1,h1,t,1,2,35.241379310344826,44.89655172413793,9.655172413793103,car
201,1,h1,t,0,0,29.93103448275862,47.93103448275862,18.0,car
305,1,h1,t,0,2,41.10344827586207,53.03448275862069,11.93103448275862,van
222,1,h1,t,0,3,33.03448275862069,54.06896551724138,21.03448275862069,car
402,1,h1,t,0,1,50.55172413793103,54.3448275862069,3.7931034482758648,car
240,1,h1,t,0,3,35.51724137931034,54.55172413793103,19.03448275862069,car
229,1,h1,t,0,3,33.58620689655172,56.0,22.413793103448278,car
223,1,h1,t,1,0,33.86206896551724,56.758620689655174,22.896551724137936,car
369,1,h1,t,2,0,48.0,57.793103448275865,9.793103448275865,car
475,1,h1,t,0,1,55.172413793103445,59.724137931034484,4.551724137931039,car
347,1,h1,t,2,0,45.172413793103445,60.0,14.827586206896555,car
333,1,h1,t,1,0,45.51724137931034,61.10344827586207,15.58620689655173,car
278,1,h1,t,2,2,38.3448275862069,61.241379310344826,22.89655172413793,car
387,1,h1,t,0,2,49.93103448275862,62.55172413793103,12.620689655172413,car
275,1,h1,t,0,3,39.241379310344826,63.58620689655172,24.344827586206897,car
418,1,h1,t,2,0,51.93103448275862,63.6551724137931,11.724137931034484,car
390,1,h1,t,0,2,50.827586206896555,64.0,13.172413793103445,truck
457,1,h1,t,2,3,54.13793103448276,64.0,9.862068965517238,car
363,1,h1,t,1,3,48.758620689655174,66.0,17.241379310344826,car
421,1,h1,t,2,0,52.06896551724138,66.55172413793103,14.482758620689651,car
518,1,h1,t,1,2,60.275862068965516,67.93103448275862,7.655172413793103,car
468,1,h1,t,2,0,55.241379310344826,68.06896551724138,12.827586206896555,car
589,1,h1,t,0,1,63.93103448275862,68.62068965517241,4.689655172413794,car
524,1,h1,t,0,2,58.827586206896555,69.3103448275862,10.482758620689651,car
532,1,h1,t,2,0,59.44827586206897,70.0,10.551724137931032,car
490,1,h1,t,2,0,56.758620689655174,70.06896551724138,13.310344827586206,car
576,1,h1,t,2,3,63.241379310344826,70.20689655172414,6.965517241379317,car
408,1,h1,t,0,3,52.48275862068966,72.13793103448276,19.655172413793103,car
410,1,h1,t,0,0,51.793103448275865,72.89655172413794,21.10344827586207,car
384,1,h1,t,1,3,52.0,75.93103448275862,23.93103448275862,car
