id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
11,2,h3,m,0,1,0.0,8.6,8.6,car
57,2,h3,m,0,1,2.466666666666667,9.6,7.133333333333333,car
13,2,h3,m,1,0,0.2,10.133333333333333,9.933333333333334,car
23,2,h3,m,0,1,0.0,10.466666666666667,10.466666666666667,car
26,2,h3,m,0,1,3.1333333333333333,12.533333333333333,9.4,car
66,2,h3,m,0,1,5.4,13.866666666666667,8.466666666666667,car
45,2,h3,m,1,0,2.3333333333333335,15.6,13.266666666666666,car
38,2,h3,m,0,1,3.8666666666666667,15.866666666666667,12.0,car
73,2,h3,m,1,0,6.866666666666666,16.666666666666668,9.8,car
86,2,h3,m,0,1,8.0,19.2,11.2,car
7,2,h3,m,0,0,0.0,21.466666666666665,21.466666666666665,car
64,2,h3,m,0,2,6.333333333333333,22.666666666666668,16.333333333333336,car
102,2,h3,m,1,0,13.2,23.533333333333335,10.333333333333336,car
129,2,h3,m,2,0,16.0,24.8,8.8,car
75,2,h3,m,1,0,7.0,25.8,18.8,car
151,2,h3,m,0,1,15.733333333333333,26.733333333333334,11.000000000000002,van
195,2,h3,m,1,2,21.8,26.733333333333334,4.933333333333334,car
80,2,h3,m,0,0,7.0,27.4,20.4,car
182,2,h3,m,2,0,22.2,27.933333333333334,5.733333333333334,car
137,2,h3,m,0,1,14.8,28.266666666666666,13.466666666666665,van
235,2,h3,m,1,2,25.8,29.666666666666668,3.866666666666667,car
187,2,h3,m,0,1,20.066666666666666,29.733333333333334,9.666666666666668,car
95,2,h3,m,0,0,9.666666666666666,31.0,21.333333333333336,car
109,2,h3,m,0,0,13.0,32.733333333333334,19.733333333333334,car
177,2,h3,m,0,1,19.266666666666666,32.8,13.533333333333331,car
226,2,h3,m,0,1,24.6,33.0,8.399999999999999,car
217,2,h3,m,0,1,22.733333333333334,35.666666666666664,12.93333333333333,car
246,2,h3,m,0,1,28.866666666666667,38.06666666666667,9.200000000000003,car
152,2,h3,m,0,2,15.8,38.333333333333336,22.533333333333335,car
243,2,h3,m,1,0,27.0,39.266666666666666,12.266666666666666,car
248,2,h3,m,1,0,27.8,40.666666666666664,12.866666666666664,car
255,2,h3,m,1,0,29.6,41.2,11.600000000000001,car
282,2,h3,m,1,0,31.466666666666665,45.2,13.733333333333338,car
319,2,h3,m,0,1,34.2,47.2,13.0,car
339,2,h3,m,0,1,34.733333333333334,48.6,13.866666666666667,car
175,2,h3,m,0,0,18.8,49.333333333333336,30.533333333333335,car
419,2,h3,m,0,1,41.2,49.733333333333334,8.533333333333331,car
192,2,h3,m,0,0,21.066666666666666,50.8,29.73333333333333,car
384,2,h3,m,0,1,37.86666666666667,51.0,13.133333333333333,car
224,2,h3,m,0,0,24.2,52.13333333333333,27.933333333333334,car
296,2,h3,m,0,0,31.266666666666666,53.93333333333333,22.666666666666664,car
421,2,h3,m,0,1,41.93333333333333,53.93333333333333,12.0,car
289,2,h3,m,0,0,31.866666666666667,56.93333333333333,25.066666666666663,car
442,2,h3,m,2,0,52.06666666666667,57.13333333333333,5.066666666666663,car
383,2,h3,m,0,2,36.93333333333333,57.53333333333333,20.6,car
456,2,h3,m,0,1,52.93333333333333,62.86666666666667,9.933333333333337,car
402,2,h3,m,0,0,39.666666666666664,64.0,24.333333333333336,van
495,2,h3,m,0,1,59.0,66.06666666666666,7.066666666666663,car
514,2,h3,m,0,1,61.266666666666666,67.0,5.733333333333334,car
434,2,h3,m,0,0,48.666666666666664,68.06666666666666,19.4,car
471,2,h3,m,1,0,54.733333333333334,70.6,15.86666666666666,car
546,2,h3,m,0,1,65.73333333333333,71.06666666666666,5.333333333333329,car
438,2,h3,m,1,0,51.0,71.53333333333333,20.53333333333333,car
454,2,h3,m,0,0,52.53333333333333,73.13333333333334,20.60000000000001,car
488,2,h3,m,0,0,57.266666666666666,75.66666666666667,18.400000000000006,car
533,2,h3,m,2,0,66.06666666666666,76.26666666666667,10.200000000000003,car
519,2,h3,m,0,0,61.93333333333333,78.93333333333334,17.000000000000007,car
560,2,h3,m,0,2,67.2,80.33333333333333,13.133333333333326,car
565,2,h3,m,0,0,67.6,82.4,14.800000000000011,car
595,2,h3,m,0,2,73.33333333333333,82.86666666666666,9.533333333333331,car
618,2,h3,m,0,1,79.26666666666667,83.8,4.533333333333331,car
582,2,h3,m,0,0,70.93333333333334,85.73333333333333,14.799999999999997,car
627,2,h3,m,2,0,82.6,86.66666666666667,4.066666666666677,car
637,2,h3,m,0,1,84.46666666666667,90.13333333333334,5.666666666666671,car
605,2,h3,m,0,0,76.0,90.6,14.599999999999994,car
654,2,h3,m,2,0,88.93333333333334,92.4,3.4666666666666686,van
677,2,h3,m,2,0,92.93333333333334,96.06666666666666,3.1333333333333258,car
648,2,h3,m,0,2,87.0,96.66666666666667,9.666666666666671,car
683,2,h3,m,2,0,95.06666666666666,98.46666666666667,3.4000000000000057,car
688,2,h3,m,0,1,94.53333333333333,99.86666666666666,5.333333333333329,car
664,2,h3,m,0,2,89.53333333333333,100.0,10.466666666666669,car
703,2,h3,m,2,0,98.2,101.73333333333333,3.5333333333333314,car
670,2,h3,m,0,2,90.73333333333333,102.26666666666667,11.533333333333331,car
651,2,h3,m,0,0,87.86666666666666,103.26666666666667,15.400000000000006,car
711,2,h3,m,2,0,100.2,104.33333333333333,4.133333333333326,car
698,2,h3,m,0,1,96.8,104.6,7.799999999999997,car
719,2,h3,m,0,1,99.4,108.0,8.599999999999994,car
686,2,h3,m,0,0,94.06666666666666,109.46666666666667,15.400000000000006,car
694,2,h3,m,1,0,97.13333333333334,111.06666666666666,13.933333333333323,car
695,2,h3,m,0,0,96.13333333333334,112.4,16.266666666666666,car
732,2,h3,m,0,2,101.0,114.46666666666667,13.466666666666669,car
758,2,h3,m,0,1,105.4,115.66666666666667,10.266666666666666,car
781,2,h3,m,0,1,108.4,115.73333333333333,7.333333333333329,car
697,2,h3,m,1,0,97.93333333333334,115.8,17.86666666666666,car
717,2,h3,m,0,0,98.93333333333334,117.2,18.266666666666666,car
776,2,h3,m,2,0,110.6,117.73333333333333,7.13333333333334,car
775,2,h3,m,0,1,108.13333333333334,118.66666666666667,10.533333333333331,car
794,2,h3,m,0,1,112.26666666666667,119.8,7.533333333333331,car
747,2,h3,m,0,2,103.8,121.6,17.799999999999997,car
792,2,h3,m,0,1,112.0,123.33333333333333,11.333333333333329,car
834,2,h3,m,0,1,115.93333333333334,125.46666666666667,9.533333333333331,car
751,2,h3,m,1,0,106.4,125.93333333333334,19.53333333333333,car
737,2,h3,m,0,0,101.8,126.13333333333334,24.333333333333343,car
735,2,h3,m,0,0,101.73333333333333,127.86666666666666,26.133333333333326,car
859,2,h3,m,0,1,117.93333333333334,129.06666666666666,11.133333333333326,car
674,2,h3,m,1,0,92.6,132.0,39.400000000000006,car
759,2,h3,m,0,2,105.33333333333333,132.33333333333334,27.000000000000014,car
783,2,h3,m,1,0,111.66666666666667,132.73333333333332,21.06666666666665,bus
866,2,h3,m,2,0,121.0,134.8,13.800000000000011,car
820,2,h3,m,0,2,113.53333333333333,135.93333333333334,22.400000000000006,car
836,2,h3,m,0,2,115.6,137.06666666666666,21.46666666666667,car
785,2,h3,m,0,0,108.86666666666666,137.6,28.733333333333334,car
876,2,h3,m,0,1,119.4,139.73333333333332,20.333333333333314,car
956,2,h3,m,0,1,127.73333333333333,139.93333333333334,12.200000000000003,car
733,2,h3,m,2,1,103.66666666666667,140.4,36.733333333333334,car
984,2,h3,m,0,1,131.93333333333334,142.0,10.066666666666663,car
910,2,h3,m,1,0,123.73333333333333,143.73333333333332,19.999999999999986,car
1037,2,h3,m,0,1,136.73333333333332,144.6,7.866666666666674,car
885,2,h3,m,0,0,120.66666666666667,145.66666666666666,24.999999999999986,car
761,2,h3,m,2,1,110.33333333333333,145.66666666666666,35.33333333333333,car
884,2,h3,m,0,0,119.66666666666667,147.0,27.33333333333333,car
797,2,h3,m,2,1,117.06666666666666,147.73333333333332,30.666666666666657,car
