id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
16,2,h3,t,2,0,0.0,6.0,6.0,car
44,2,h3,t,1,2,2.206896551724138,7.586206896551724,5.379310344827586,car
42,2,h3,t,0,1,0.0,8.620689655172415,8.620689655172415,car
135,2,h3,t,2,0,4.482758620689655,10.0,5.517241379310345,car
34,2,h3,t,0,1,0.0,10.344827586206897,10.344827586206897,van
209,2,h3,t,2,0,6.896551724137931,12.344827586206897,5.448275862068966,car
10,2,h3,t,1,0,1.2413793103448276,12.758620689655173,11.517241379310345,car
17,2,h3,t,0,1,2.7586206896551726,14.413793103448276,11.655172413793103,car
23,2,h3,t,0,2,0.5517241379310345,14.551724137931034,14.0,car
129,2,h3,t,1,0,5.517241379310345,16.344827586206897,10.827586206896552,car
15,2,h3,t,0,2,1.3793103448275863,17.862068965517242,16.482758620689655,car
184,2,h3,t,0,2,6.9655172413793105,24.0,17.03448275862069,car
223,2,h3,t,1,0,8.620689655172415,24.620689655172413,15.999999999999998,car
393,2,h3,t,0,1,17.03448275862069,25.517241379310345,8.482758620689655,car
308,2,h3,t,1,0,14.0,26.482758620689655,12.482758620689655,car
432,2,h3,t,2,0,23.24137931034483,29.379310344827587,6.137931034482758,car
392,2,h3,t,0,2,17.448275862068964,31.310344827586206,13.862068965517242,car
376,2,h3,t,1,0,19.448275862068964,34.41379310344828,14.965517241379313,car
434,2,h3,t,0,2,21.03448275862069,34.55172413793103,13.517241379310342,car
431,2,h3,t,0,2,20.620689655172413,35.37931034482759,14.758620689655174,car
377,2,h3,t,0,0,15.724137931034482,35.44827586206897,19.724137931034484,car
544,2,h3,t,0,1,32.0,39.10344827586207,7.103448275862071,car
564,2,h3,t,2,0,36.13793103448276,40.48275862068966,4.344827586206897,car
480,2,h3,t,0,2,25.379310344827587,41.172413793103445,15.793103448275858,car
441,2,h3,t,0,2,23.03448275862069,42.0,18.96551724137931,car
445,2,h3,t,1,0,25.17241379310345,42.275862068965516,17.103448275862068,car
468,2,h3,t,0,2,25.103448275862068,43.37931034482759,18.27586206896552,car
602,2,h3,t,2,0,41.172413793103445,45.10344827586207,3.9310344827586263,car
622,2,h3,t,2,0,44.41379310344828,47.793103448275865,3.379310344827587,car
551,2,h3,t,0,2,33.86206896551724,47.86206896551724,14.0,car
574,2,h3,t,0,1,37.37931034482759,49.310344827586206,11.93103448275862,car
475,2,h3,t,1,0,28.551724137931036,50.13793103448276,21.586206896551726,car
509,2,h3,t,0,0,29.03448275862069,52.3448275862069,23.310344827586206,car
550,2,h3,t,0,0,34.41379310344828,54.206896551724135,19.793103448275858,car
618,2,h3,t,0,2,43.10344827586207,57.93103448275862,14.827586206896548,car
612,2,h3,t,0,1,44.275862068965516,58.13793103448276,13.862068965517246,car
586,2,h3,t,0,0,39.51724137931034,59.51724137931034,20.0,car
634,2,h3,t,0,1,45.6551724137931,62.0,16.344827586206897,car
611,2,h3,t,0,2,42.96551724137931,62.13793103448276,19.172413793103452,car
598,2,h3,t,0,0,38.96551724137931,62.758620689655174,23.793103448275865,car
