id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
13,1,h4,t,0,1,3.3333333333333335,10.866666666666667,7.533333333333333,car
268,1,h4,t,0,1,8.8,16.733333333333334,7.933333333333334,car
34,1,h4,t,0,2,0.0,17.933333333333334,17.933333333333334,car
549,1,h4,t,0,1,15.2,19.733333333333334,4.533333333333335,car
29,1,h4,t,2,3,6.4,20.0,13.6,car
9,1,h4,t,2,0,2.8,20.8,18.0,car
32,1,h4,t,2,3,8.733333333333333,22.066666666666666,13.333333333333334,car
11,1,h4,t,2,0,0.0,23.466666666666665,23.466666666666665,car
134,1,h4,t,2,3,10.533333333333333,23.6,13.066666666666668,car
667,1,h4,t,0,1,18.866666666666667,25.0,6.133333333333333,car
451,1,h4,t,0,2,11.666666666666666,26.333333333333332,14.666666666666666,car
409,1,h4,t,0,2,12.533333333333333,28.266666666666666,15.733333333333333,car
227,1,h4,t,2,3,14.533333333333333,28.866666666666667,14.333333333333334,car
271,1,h4,t,0,2,9.666666666666666,30.533333333333335,20.866666666666667,car
39,1,h4,t,2,0,4.933333333333334,32.733333333333334,27.8,car
543,1,h4,t,2,3,20.933333333333334,33.06666666666667,12.133333333333336,car
58,1,h4,t,2,0,5.466666666666667,34.2,28.733333333333334,car
1033,1,h4,t,0,1,29.733333333333334,34.8,5.066666666666663,car
787,1,h4,t,2,3,24.8,35.2,10.400000000000002,car
213,1,h4,t,2,0,13.8,36.333333333333336,22.533333333333335,car
16,1,h4,t,2,0,2.1333333333333333,38.2,36.06666666666667,car
799,1,h4,t,2,3,27.6,38.333333333333336,10.733333333333334,car
10,1,h4,t,0,0,3.1333333333333333,39.93333333333333,36.8,car
629,1,h4,t,0,2,18.666666666666668,39.93333333333333,21.266666666666662,car
629,1,h4,t,2,2,40.666666666666664,40.666666666666664,0.0,car
629,1,h4,t,2,2,40.733333333333334,40.733333333333334,0.0,car
143,1,h4,t,2,0,10.666666666666666,45.333333333333336,34.66666666666667,car
49,1,h4,t,2,0,13.133333333333333,46.06666666666667,32.93333333333334,car
1210,1,h4,t,2,3,36.333333333333336,47.0,10.666666666666664,car
337,1,h4,t,2,0,15.8,47.333333333333336,31.533333333333335,car
1236,1,h4,t,0,1,35.666666666666664,47.733333333333334,12.06666666666667,car
416,1,h4,t,2,0,16.6,48.333333333333336,31.733333333333334,car
27,1,h4,t,1,0,8.6,49.0,40.4,car
1291,1,h4,t,0,1,37.733333333333334,49.46666666666667,11.733333333333334,car
633,1,h4,t,0,2,17.6,49.46666666666667,31.866666666666667,car
1304,1,h4,t,2,3,39.266666666666666,49.46666666666667,10.200000000000003,car
731,1,h4,t,0,2,21.6,50.733333333333334,29.133333333333333,car
1331,1,h4,t,0,1,39.46666666666667,51.86666666666667,12.399999999999999,car
664,1,h4,t,2,0,23.4,55.333333333333336,31.933333333333337,car
1640,1,h4,t,2,3,46.86666666666667,56.6,9.733333333333334,car
1715,1,h4,t,0,1,50.6,58.13333333333333,7.533333333333331,car
